PLE Maps APPLICATION (PLEM)
v1: Tilman Hain; v2: Daniel Zuleeg; v3: Matthias Kastner, v4: Moritz Limbacher

Date of Measurement: 25.07.2025/10:25
User Name: the master of microscopy
File Name: HSI1

Spectrograph Settings
Slit Width (µm): 250.0
Grating: 1250 nm blaze
Filter: Empty
Central Wavelength (nm): 699.99

Detector Settings
Detector: CCD
Cooling Temperature (°C): -70
Exposure Time (s): 5.00
Horizontal Binning: 1x
Wavelength First Pixel (nm): 414.09
Wavelength Last Pixel (nm): 1024.00
Delta Wavelength (nm): 0.557

Nano Stage Settings
x-position: 140.000
y-position: 150.000
z-position: 130.000
switchUD: 1
switchLR: 1

Light Source Settings
NKT System: SuperK Varia (VIS)
Operation: 
Power Level: 0.0%
Short Wavelength (nm): 0
Long Wavelength (nm): 0

Background Measurement with Open Shutter
Readout Mode: Full Vertical Binning

Microscopy:
Laser Position  (x,y): (520,696)
magnification: 83.333


Power at Glass Plate (µW): -0.000669

WL           	BG           	PL           
 414.092	    1503	    1520
 414.653	    1508	    1520
 415.214	    1517	    1508
 415.774	    1514	    1535
 416.335	    1511	    1516
 416.896	    1506	    1505
 417.457	    1503	    1518
 418.017	    1503	    1510
 418.578	    1533	    1531
 419.139	    1495	    1501
 419.700	    1522	    1507
 420.260	    1505	    1522
 420.821	    1521	    1520
 421.382	    1511	    1532
 421.942	    1516	    1514
 422.503	    1504	    1522
 423.064	    1519	    1540
 423.625	    1494	    1511
 424.185	    1511	    1531
 424.746	    1519	    1502
 425.307	    1517	    1522
 425.867	    1513	    1530
 426.428	    1508	    1524
 426.989	    1523	    1510
 427.549	    1499	    1515
 428.110	    1515	    1516
 428.671	    1506	    1522
 429.232	    1507	    1501
 429.792	    1503	    1521
 430.353	    1514	    1524
 430.914	    1522	    1513
 431.474	    1492	    1502
 432.035	    1499	    1502
 432.596	    1517	    1538
 433.156	    1502	    1535
 433.717	    1530	    1522
 434.278	    1505	    1519
 434.838	    1517	    1502
 435.399	    1527	    1509
 435.960	    1501	    1514
 436.520	    1507	    1538
 437.081	    1519	    1523
 437.641	    1510	    1518
 438.202	    1507	    1528
 438.763	    1503	    1512
 439.323	    1516	    1531
 439.884	    1506	    1520
 440.445	    1501	    1507
 441.005	    1505	    1517
 441.566	    1513	    1508
 442.126	    1519	    1513
 442.687	    1510	    1510
 443.248	    1507	    1524
 443.808	    1514	    1526
 444.369	    1496	    1509
 444.929	    1515	    1518
 445.490	    1503	    1519
 446.051	    1501	    1507
 446.611	    1501	    1514
 447.172	    1509	    1521
 447.732	    1521	    1533
 448.293	    1492	    1519
 448.853	    1517	    1498
 449.414	    1507	    1528
 449.975	    1504	    1516
 450.535	    1520	    1500
 451.096	    1526	    1504
 451.656	    1500	    1518
 452.217	    1522	    1516
 452.777	    1518	    1524
 453.338	    1515	    1516
 453.898	    1498	    1510
 454.459	    1502	    1498
 455.019	    1529	    1529
 455.580	    1511	    1517
 456.140	    1520	    1512
 456.701	    1518	    1523
 457.261	    1504	    1504
 457.822	    1501	    1515
 458.382	    1504	    1523
 458.943	    1517	    1505
 459.503	    1497	    1512
 460.064	    1509	    1519
 460.624	    1507	    1527
 461.185	    1500	    1522
 461.745	    1511	    1525
 462.306	    1515	    1507
 462.866	    1512	    1528
 463.427	    1509	    1511
 463.987	    1506	    1514
 464.548	    1515	    1509
 465.108	    1510	    1528
 465.669	    1515	    1519
 466.229	    1525	    1543
 466.790	    1505	    1511
 467.350	    1517	    1510
 467.910	    1493	    1503
 468.471	    1511	    1520
 469.031	    1515	    1519
 469.592	    1503	    1524
 470.152	    1497	    1505
 470.713	    1508	    1534
 471.273	    1514	    1514
 471.833	    1513	    1511
 472.394	    1510	    1510
 472.954	    1511	    1511
 473.515	    1503	    1532
 474.075	    1508	    1516
 474.635	    1516	    1527
 475.196	    1508	    1501
 475.756	    1519	    1505
 476.316	    1506	    1513
 476.877	    1526	    1510
 477.437	    1489	    1535
 477.998	    1499	    1510
 478.558	    1519	    1500
 479.118	    1500	    1509
 479.679	    1517	    1519
 480.239	    1493	    1531
 480.799	    1505	    1499
 481.360	    1526	    1507
 481.920	    1508	    1510
 482.480	    1519	    1517
 483.041	    1513	    1518
 483.601	    1507	    1502
 484.161	    1516	    1514
 484.722	    1518	    1506
 485.282	    1500	    1503
 485.842	    1504	    1524
 486.402	    1504	    1515
 486.963	    1528	    1521
 487.523	    1519	    1511
 488.083	    1528	    1503
 488.644	    1497	    1520
