z-pos [mum]	bwx[mum]	bwy[mum]
144.8	2.8877618681208617	4.1754684542733
145.0	3.6944534483751426	2.630055744429157
145.2	3.1877419105346263	2.3774759881901844
145.4	2.7671840295456605	2.170241196542989
145.6	2.00533195710085	2.440274117685334
145.8	1.8723245319998938	2.233716777338188
146.0	1.7747197613633574	2.065580849694996
146.2	1.6993236490604886	1.9416504483551478
146.4	1.5856791605160225	1.8425087158364732
146.6	1.756291046579534	1.4884076037209155
146.8	1.4392586111147523	1.7101135606500009
147.0	1.4036851887701545	1.7074827301421749
147.2	1.715977243749066	1.3658721992382112
